Breakfast Cereals,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cereals ready-to-eat, ALPEN",55.0,0.67 cup (1 NLEA serving),7.4 g,147.0 mg,11.2 g,20.0 g,3.3 g,75.7 g,352.0 kcal
"Cereals ready-to-eat, BARBARA'S PUFFINS, original",27.0,0.75 cup (1 NLEA serving),3.59 g,70.0 mg,7.41 g,18.52 g,3.7 g,84.0 g,333.0 kcal
"Cereals ready-to-eat, CASCADIAN FARM, Cinnamon Crunch",27.0,0.75 cup (1 NLEA serving),2.09 g,0.0 mg,5.69 g,31.0 g,8.5 g,81.59 g,407.0 kcal
"Cereals ready-to-eat, CASCADIAN FARM, Honey Nut O's",30.0,1.0 cup (1 NLEA serving),2.5 g,67.0 mg,8.3 g,24.79 g,3.29 g,83.09 g,371.0 kcal
"Cereals ready-to-eat, CASCADIAN FARM, Multi-Grain Squares",53.0,1.0 cup (1 NLEA serving),-- g,0.0 mg,9.39 g,13.19 g,1.89 g,83.0 g,387.0 kcal
"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",30.0,1.0 cup,3.42 g,70.0 mg,3.34 g,43.7 g,3.5 g,87.2 g,405.0 kcal
"Cereals ready-to-eat, FAMILIA",122.0,1.0 cup,1.9 g,173.0 mg,9.5 g,23.2 g,6.3 g,73.8 g,388.0 kcal
"Cereals ready-to-eat, frosted oat cereal with marshmallows",30.0,0.75 cup (1 NLEA serving),2.8 g,333.0 mg,7.1 g,36.13 g,3.33 g,84.7 g,400.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRUNCH",28.0,1.0 bowl (3/4 cup) (1 NLEA serving),2.5 g,714.0 mg,5.09 g,21.39 g,9.89 g,78.19 g,386.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar TRIX",28.0,1.0 cup,2.0 g,357.0 mg,5.4 g,25.0 g,4.0 g,85.5 g,383.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS",30.0,0.75 cup (1 NLEA serving),2.29 g,333.0 mg,8.3 g,34.2 g,6.09 g,79.9 g,386.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Apple Cinnamon CHEX",31.0,0.75 cup (1 NLEA serving),2.2 g,323.0 mg,4.69 g,26.0 g,6.45 g,82.8 g,408.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, BASIC 4",55.0,1.0 cup (1 NLEA serving),6.25 g,455.0 mg,6.69 g,22.5 g,4.0 g,79.09 g,358.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, BERRY BERRY KIX",33.0,1.25 cup (1 NLEA serving),2.09 g,421.0 mg,6.19 g,21.0 g,4.19 g,83.9 g,376.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berry",27.0,0.75 cup (1 NLEA serving),2.04 g,370.0 mg,8.8 g,27.0 g,4.5 g,80.5 g,378.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, BOO BERRY",33.0,1.0 cup (1 NLEA serving),1.89 g,303.0 mg,5.5 g,27.29 g,4.3 g,85.4 g,386.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",28.0,1.0 cup (1 NLEA serving),5.13 g,401.0 mg,12.09 g,4.36 g,6.73 g,73.23 g,376.0 kcal
