Dairy and Egg Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Beverage, instant breakfast powder, chocolate, not reconstituted",7.4,1.0 tbsp,7.4 g,285.0 mg,19.9 g,65.8 g,1.4 g,66.2 g,353.0 kcal
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",5.6,1.0 tbsp,7.4 g,500.0 mg,35.8 g,39.0 g,5.1 g,41.0 g,358.0 kcal
"Beverage, milkshake mix, dry, not chocolate",7.0,1.0 tbsp,12.8 g,880.0 mg,23.5 g,51.3 g,2.6 g,52.9 g,329.0 kcal
"Butter oil, anhydrous",12.8,1.0 tbsp,0.24 g,4.0 mg,0.28 g,-- g,99.48 g,0.0 g,876.0 kcal
"Butter, salted",5.0,"1.0 pat (1"" sq, 1/3"" high)",15.87 g,24.0 mg,0.85 g,-- g,81.11 g,0.06 g,717.0 kcal
"Butter, whipped, with salt",3.8,"1.0 pat (1"" sq, 1/3"" high)",16.72 g,23.0 mg,0.49 g,0.06 g,78.3 g,2.87 g,718.0 kcal
"Butter, without salt",5.0,"1.0 pat (1"" sq, 1/3"" high)",17.94 g,24.0 mg,0.85 g,-- g,81.11 g,0.06 g,717.0 kcal
"Cheese food, cold pack, American",28.35,1.0 oz,43.12 g,497.0 mg,19.66 g,-- g,24.46 g,8.32 g,331.0 kcal
"Cheese food, pasteurized process, American, imitation, without added vitamin D",28.35,1.0 oz,55.5 g,649.0 mg,4.08 g,8.21 g,19.5 g,16.18 g,257.0 kcal
"Cheese food, pasteurized process, American, vitamin D fortified",113.0,1.0 cup,44.0 g,682.0 mg,16.86 g,5.59 g,25.63 g,8.56 g,330.0 kcal
"Cheese food, pasteurized process, American, without added vitamin D",113.0,1.0 cup,44.0 g,682.0 mg,16.86 g,5.59 g,25.63 g,8.56 g,330.0 kcal
"Cheese food, pasteurized process, swiss",28.35,1.0 oz,43.67 g,723.0 mg,21.92 g,-- g,24.14 g,4.5 g,323.0 kcal
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",21.0,1.0 slice 3/4 oz,51.8 g,529.0 mg,17.6 g,8.02 g,14.1 g,10.6 g,240.0 kcal
"Cheese product, pasteurized process, American, vitamin D fortified",19.0,1.0 slice (2/3 oz),45.07 g,1375.0 mg,16.09 g,6.24 g,23.06 g,8.85 g,307.0 kcal
"Cheese product, pasteurized process, cheddar, reduced fat",28.0,1.0 slice 1 oz,51.8 g,529.0 mg,17.6 g,8.02 g,14.1 g,10.6 g,240.0 kcal
"Cheese sauce, prepared from recipe",30.0,2.0 tbsp,66.86 g,311.0 mg,10.33 g,0.19 g,14.92 g,5.48 g,197.0 kcal
"Cheese spread, American or Cheddar cheese base, reduced fat",21.0,1.0 piece,61.82 g,557.0 mg,13.41 g,7.06 g,8.88 g,10.71 g,176.0 kcal
"Cheese spread, cream cheese base",28.35,1.0 oz,58.5 g,71.0 mg,7.1 g,-- g,28.6 g,3.5 g,295.0 kcal
"Cheese spread, pasteurized process, American",140.0,"1.0 cup, diced",47.65 g,562.0 mg,16.41 g,7.32 g,21.23 g,8.73 g,290.0 kcal
"Cheese substitute, mozzarella",113.0,"1.0 cup, shredded",47.36 g,610.0 mg,11.47 g,-- g,12.22 g,23.67 g,248.0 kcal
"Cheese, american cheddar, imitation",21.0,1.0 slice,53.1 g,562.0 mg,16.7 g,7.74 g,14.0 g,11.6 g,239.0 kcal
"Cheese, American, nonfat or fat free",19.0,1.0 serving,65.47 g,789.0 mg,21.05 g,5.26 g,0.0 g,10.53 g,126.0 kcal
"Cheese, blue",28.35,1.0 oz,42.41 g,528.0 mg,21.4 g,0.5 g,28.74 g,2.34 g,353.0 kcal
"Cheese, brick",132.0,"1.0 cup, diced",41.11 g,674.0 mg,23.24 g,0.51 g,29.68 g,2.79 g,371.0 kcal
"Cheese, brie",28.35,1.0 oz,48.42 g,184.0 mg,20.75 g,-- g,27.68 g,0.45 g,334.0 kcal
"Cheese, camembert",28.35,1.0 oz,51.8 g,388.0 mg,19.8 g,-- g,24.26 g,0.46 g,300.0 kcal
"Cheese, caraway",28.35,1.0 oz,39.28 g,673.0 mg,25.18 g,-- g,29.2 g,3.06 g,376.0 kcal
"Cheese, cheddar",132.0,"1.0 cup, diced",37.02 g,710.0 mg,22.87 g,0.48 g,33.31 g,3.09 g,404.0 kcal
"Cheese, cheddar, nonfat or fat free",28.0,1.0 serving,57.0 g,893.0 mg,32.14 g,-- g,0.0 g,7.14 g,157.0 kcal
"Cheese, cheddar, reduced fat",21.0,1.0 slice,44.29 g,761.0 mg,27.35 g,0.26 g,20.41 g,4.06 g,309.0 kcal
"Cheese, cheddar, sharp, sliced",19.0,1.0 slice (2/3 oz),36.15 g,711.0 mg,24.25 g,0.27 g,33.82 g,2.13 g,410.0 kcal
"Cheese, cheshire",28.35,1.0 oz,37.65 g,643.0 mg,23.37 g,-- g,30.6 g,4.78 g,387.0 kcal
"Cheese, colby",132.0,"1.0 cup, diced",38.2 g,685.0 mg,23.76 g,0.52 g,32.11 g,2.57 g,394.0 kcal
"Cheese, cottage, creamed, large or small curd",113.0,4.0 oz,79.79 g,83.0 mg,11.12 g,2.67 g,4.3 g,3.38 g,98.0 kcal
"Cheese, cottage, creamed, with fruit",113.0,4.0 oz,79.64 g,53.0 mg,10.69 g,2.38 g,3.85 g,4.61 g,97.0 kcal
"Cheese, cottage, lowfat, 1% milkfat",113.0,4.0 oz,82.48 g,61.0 mg,12.39 g,-- g,1.02 g,2.72 g,72.0 kcal
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",113.0,4.0 oz,82.5 g,53.0 mg,12.4 g,2.6 g,1.0 g,3.2 g,74.0 kcal
"Cheese, cottage, lowfat, 1% milkfat, no sodium added",113.0,4.0 oz,83.5 g,61.0 mg,12.4 g,-- g,1.0 g,2.7 g,72.0 kcal
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",113.0,4.0 oz,83.5 g,56.0 mg,10.9 g,-- g,1.0 g,3.0 g,67.0 kcal
"Cheese, cottage, lowfat, 2% milkfat",113.0,4.0 oz,81.24 g,111.0 mg,10.45 g,4.0 g,2.27 g,4.76 g,81.0 kcal
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",145.0,1.0 cup (not packed),81.01 g,86.0 mg,10.34 g,1.85 g,0.29 g,6.66 g,72.0 kcal
"Cheese, cottage, with vegetables",113.0,4.0 oz,80.3 g,56.0 mg,10.9 g,0.37 g,4.2 g,3.0 g,95.0 kcal
"Cheese, cream",14.5,1.0 tbsp,52.62 g,97.0 mg,6.15 g,3.76 g,34.44 g,5.52 g,350.0 kcal
"Cheese, cream, fat free",18.0,1.0 tbsp,71.87 g,351.0 mg,15.69 g,5.48 g,1.0 g,7.66 g,105.0 kcal
"Cheese, cream, low fat",15.0,1.0 tbsp,66.72 g,148.0 mg,7.85 g,5.82 g,15.28 g,8.13 g,201.0 kcal
"Cheese, dry white, queso seco",97.0,1.0 cup grated,42.17 g,661.0 mg,24.51 g,0.55 g,24.35 g,2.04 g,325.0 kcal
"Cheese, edam",28.35,1.0 oz,41.56 g,731.0 mg,24.99 g,-- g,27.8 g,1.43 g,357.0 kcal
"Cheese, feta",150.0,"1.0 cup, crumbled",55.22 g,493.0 mg,14.21 g,-- g,21.28 g,4.09 g,264.0 kcal
"Cheese, fontina",132.0,"1.0 cup, diced",37.92 g,550.0 mg,25.6 g,-- g,31.14 g,1.55 g,389.0 kcal
