Product,Price
Apples And Oranges Assorted Prepacked - 4 Lb,$6.79
Apples Cripps Pink,$1.40/Each
Apples Envy,$1.32/Each
Apples Fuji Large,$2.00/Each
Apples Fuji Organic,$1.32/Each
Apples Gala Extra Large,$2.07/Each
Apples Gala Organic,$1.32/Each
Apples Gala Small,$0.44/Each
Apples Golden Delicious Extra Large,$1.10/Each
Apples Granny Smith Extra Large,$0.88/Each
Apples Granny Smith Organic,$1.32/Each
Apples Honeycrisp,$1.55/Each
Apples Honeycrisp Organic,$2.78/Each
Apples Jazz,$1.40/Each
Apples Lady,$1.80/Each
Apples Mcintosh,$1.10/Each
Apples Pink Lady Organic,$1.32/Each
Apples Red Delicious Baby,$0.44/Each
Apples Red Delicious Large,$0.55/Each
O Organics Organic Apples Gala Prepacked - 3 Lb,$6.79
Bananas,$0.45/Each
Bananas Organic,$0.32/Each
Bananas Plantain,$1.10/Each
Grapes Black Seedless - 2 Lbs,$6.58/Each
Grapes Green Seedless - 2 Lbs,$6.58/Lb
Grapes Green Seedless Organic,$7.98/Each
Grapes Red Seedless - 2 Lbs,$6.58/Each
Grapes Red Seedless Organic,$7.98/Each
Bag Limes Organic - 1 Lb,$2.19
Grapefruit Pummelo,$3.29
Grapefruit Red,$1.89/Each
Lemons Large,$0.99
Lemons Large Organic,$1.09
Limes Key,$0.27/Each
Limes Large,$0.89
Oranges Navel Large,$1.55/Each
Signature Farms Lemons - 2 Lb,$5.59
Blackberries Organic Prepacked - 6 Oz,$4.49
Blackberries Prepacked - 6 Oz,$3.50
Blueberries Prepacked - 6 Oz,$4.49
Raspberries Organic Prepacked - 6 Oz,$4.49
Raspberries Red Prepacked - 6 Oz,$0.87
Signature Farms Cranberries - 12 Oz,$3.29
Signature Farms Cranberries - 32 Oz,$5.80
Strawberries Prepacked - 1 Lb,$2.50
Coconuts,$3.29
Coconuts White,$3.29
Kiwi,$1.09
Kiwi Clamshell - 2 Lb,$5.80
Kiwi Organic,$0.89
