Sausages and Luncheon Meats,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
Bacon and beef sticks,28.0,1.0 oz,21.6 g,14.0 mg,29.1 g,-- g,44.2 g,0.8 g,517.0 kcal
"Bacon, turkey, low sodium",15.0,1.0 serving,58.93 g,10.0 mg,13.33 g,0.0 g,20.0 g,4.8 g,253.0 kcal
"Barbecue loaf, pork, beef",28.35,1.0 oz,64.82 g,55.0 mg,15.84 g,-- g,8.9 g,6.4 g,173.0 kcal
"Beef sausage, fresh, cooked",43.0,1.0 serving,51.12 g,11.0 mg,18.21 g,0.0 g,27.98 g,0.35 g,332.0 kcal
"Beef sausage, pre-cooked",48.0,1.0 serving,43.75 g,15.0 mg,15.5 g,0.0 g,37.57 g,0.03 g,405.0 kcal
"Beef, bologna, reduced sodium",138.0,1.0 cup pieces,54.8 g,12.0 mg,11.7 g,0.0 g,28.4 g,2.0 g,310.0 kcal
"Beef, cured, corned beef, canned",28.35,1.0 oz,57.72 g,12.0 mg,27.1 g,-- g,14.93 g,0.0 g,250.0 kcal
"Beef, cured, dried",28.0,10.0 slices,53.8 g,8.0 mg,31.1 g,2.7 g,1.94 g,2.76 g,153.0 kcal
"Beef, cured, luncheon meat, jellied",28.0,"1.0 slice (1 oz) (4"" x 4"" x 3/32"" thick)",74.6 g,10.0 mg,19.0 g,-- g,3.3 g,0.0 g,111.0 kcal
"Beef, cured, pastrami",71.0,"1.0 package, 2.5 oz",69.53 g,10.0 mg,21.8 g,0.1 g,5.82 g,0.36 g,147.0 kcal
"Beef, cured, sausage, cooked, smoked",43.0,1.0 sausage,53.56 g,7.0 mg,14.11 g,-- g,26.91 g,2.42 g,312.0 kcal
"Beef, cured, smoked, chopped beef",28.0,1.0 slice (1 oz),68.93 g,8.0 mg,20.19 g,-- g,4.42 g,1.86 g,133.0 kcal
"Beerwurst, beer salami, pork",23.0,"1.0 slice (4"" dia x 1/8"" thick)",61.46 g,8.0 mg,14.24 g,-- g,18.8 g,2.06 g,238.0 kcal
"Beerwurst, beer salami, pork and beef",56.0,2.0 oz,56.71 g,27.0 mg,14.0 g,0.0 g,22.53 g,3.76 g,277.0 kcal
"Beerwurst, pork and beef",56.0,1.0 serving 2 oz,56.71 g,27.0 mg,14.0 g,0.0 g,22.53 g,4.27 g,276.0 kcal
Blood sausage,100.0,4.0 slices,47.3 g,6.0 mg,14.6 g,-- g,34.5 g,1.29 g,379.0 kcal
"Bockwurst, pork, veal, raw",91.0,1.0 sausage,54.47 g,41.0 mg,14.03 g,1.33 g,25.87 g,2.95 g,301.0 kcal
"Bologna, beef",30.0,1.0 slice,55.31 g,21.0 mg,10.91 g,2.05 g,26.13 g,4.29 g,299.0 kcal
"Bologna, beef and pork",100.0,3.527 oz,51.87 g,85.0 mg,15.2 g,4.42 g,24.59 g,5.49 g,308.0 kcal
"Bologna, beef and pork, low fat",138.0,1.0 cup pieces,63.4 g,11.0 mg,11.5 g,0.0 g,19.3 g,2.6 g,230.0 kcal
"Bologna, beef, low fat",28.0,1.0 slice,65.0 g,9.0 mg,11.8 g,0.0 g,14.8 g,5.2 g,204.0 kcal
"Bologna, chicken, pork",28.0,1.0 serving,50.85 g,196.0 mg,10.31 g,0.0 g,30.61 g,4.19 g,336.0 kcal
"Bologna, chicken, pork, beef",28.0,1.0 serving,56.42 g,92.0 mg,11.33 g,0.0 g,22.73 g,5.61 g,272.0 kcal
"Bologna, chicken, turkey, pork",28.0,1.0 serving,55.25 g,82.0 mg,9.88 g,0.0 g,26.18 g,5.65 g,298.0 kcal
"Bologna, meat and poultry",33.0,1.0 slice,55.93 g,125.0 mg,10.34 g,1.97 g,23.77 g,6.31 g,281.0 kcal
"Bologna, pork",28.0,"1.0 slice, medium (4-1/2"" dia x 1/8"" thick) (1 oz)",60.6 g,11.0 mg,15.3 g,0.0 g,19.87 g,0.73 g,247.0 kcal
"Bologna, pork and turkey, lite",56.0,1.0 serving 2 oz,64.87 g,48.0 mg,13.06 g,0.0 g,16.06 g,3.45 g,211.0 kcal
"Bologna, pork, turkey and beef",28.35,1.0 oz,45.37 g,31.0 mg,11.56 g,1.35 g,29.25 g,6.66 g,336.0 kcal
"Bologna, turkey",28.0,0.99 oz 1 serving,64.55 g,123.0 mg,11.42 g,2.9 g,16.05 g,4.68 g,209.0 kcal
"Bratwurst, beef and pork, smoked",66.0,1.0 serving 2.33 oz,56.65 g,7.0 mg,12.2 g,0.0 g,26.34 g,2.0 g,297.0 kcal
"Bratwurst, chicken, cooked",84.0,1.0 serving 2.96 oz,70.28 g,11.0 mg,19.44 g,-- g,10.35 g,0.0 g,176.0 kcal
"Bratwurst, pork, beef and turkey, lite, smoked",66.0,1.0 serving 2.33 oz,65.89 g,14.0 mg,14.45 g,1.57 g,13.53 g,1.62 g,186.0 kcal
"Bratwurst, pork, cooked",85.0,1.0 link cooked,51.45 g,28.0 mg,13.72 g,0.0 g,29.18 g,2.85 g,333.0 kcal
"Bratwurst, veal, cooked",84.0,1.0 serving 2.96 oz,53.51 g,11.0 mg,13.99 g,-- g,31.7 g,0.0 g,341.0 kcal
"Braunschweiger (a liver sausage), pork",28.35,1.0 oz,50.6 g,9.0 mg,14.5 g,0.0 g,28.5 g,3.1 g,327.0 kcal
