Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"ANDREA'S, Gluten Free Soft Dinner Roll",69.0,1.0 roll,44.6 g,41.0 mg,5.65 g,2.98 g,8.2 g,40.24 g,257.0 kcal
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",24.0,1.0 serving,5.01 g,14.0 mg,4.28 g,34.06 g,24.4 g,65.02 g,497.0 kcal
"ARCHWAY Home Style Cookies, Coconut Macaroon",22.0,1.0 serving,11.5 g,5.0 mg,3.02 g,45.16 g,22.55 g,61.23 g,460.0 kcal
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",25.0,1.0 serving,13.49 g,28.0 mg,4.67 g,34.27 g,12.05 g,68.16 g,400.0 kcal
"ARCHWAY Home Style Cookies, Dutch Cocoa",24.0,1.0 serving,9.32 g,13.0 mg,4.5 g,35.35 g,14.99 g,69.44 g,431.0 kcal
"ARCHWAY Home Style Cookies, Frosty Lemon",26.0,1.0 serving,12.03 g,41.0 mg,4.41 g,33.35 g,17.11 g,64.78 g,430.0 kcal
"ARCHWAY Home Style Cookies, Iced Molasses",28.0,1.0 serving,10.34 g,24.0 mg,3.5 g,38.43 g,14.43 g,69.12 g,420.0 kcal
"ARCHWAY Home Style Cookies, Iced Oatmeal",28.0,1.0 serving,9.99 g,32.0 mg,4.89 g,37.2 g,16.53 g,66.76 g,435.0 kcal
"ARCHWAY Home Style Cookies, Molasses",26.0,1.0 serving,11.43 g,29.0 mg,4.25 g,36.35 g,12.06 g,69.41 g,403.0 kcal
"ARCHWAY Home Style Cookies, Oatmeal",25.0,1.0 serving,10.28 g,35.0 mg,5.48 g,34.5 g,14.08 g,68.17 g,421.0 kcal
"ARCHWAY Home Style Cookies, Oatmeal Raisin",26.0,1.0 serving,11.53 g,38.0 mg,5.17 g,39.55 g,12.08 g,69.27 g,406.0 kcal
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",26.0,1.0 serving,10.41 g,32.0 mg,4.27 g,36.09 g,11.83 g,70.55 g,406.0 kcal
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",20.0,1.0 serving,3.0 g,36.0 mg,5.17 g,32.64 g,17.55 g,72.23 g,468.0 kcal
"ARCHWAY Home Style Cookies, Peanut Butter",21.0,1.0 serving,6.35 g,35.0 mg,9.0 g,32.55 g,24.28 g,58.48 g,480.0 kcal
"ARCHWAY Home Style Cookies, Raspberry Filled",25.0,1.0 serving,14.99 g,20.0 mg,4.35 g,31.76 g,13.26 g,65.92 g,400.0 kcal
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",32.0,1.0 serving,5.22 g,62.0 mg,4.67 g,36.28 g,11.14 g,76.23 g,424.0 kcal
"ARCHWAY Home Style Cookies, Strawberry Filled",25.0,1.0 serving,14.99 g,20.0 mg,4.35 g,31.76 g,13.26 g,65.92 g,400.0 kcal
"ARCHWAY Home Style Cookies, Sugar Free Oatmeal",24.0,1.0 serving,5.0 g,20.0 mg,5.54 g,1.26 g,20.92 g,67.2 g,442.0 kcal
"Artificial Blueberry Muffin Mix, dry",31.0,1.0 muffin,6.4 g,-- mg,4.7 g,-- g,8.7 g,77.45 g,407.0 kcal
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type",39.0,1.0 package,2.0 g,160.0 mg,7.5 g,13.5 g,24.9 g,60.0 g,494.0 kcal
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type, reduced fat",36.0,1.0 package,2.7 g,144.0 mg,7.8 g,14.6 g,17.5 g,68.0 g,461.0 kcal
"AUSTIN, Cheddar Cheese on Wafer Crackers, sandwich-type",39.0,1.0 package,2.7 g,156.0 mg,7.8 g,14.3 g,23.0 g,62.6 g,489.0 kcal
"AUSTIN, Cheddar Cheese on Wheat Crackers, sandwich-type",39.0,1.0 package,2.7 g,151.0 mg,7.9 g,14.6 g,24.5 g,61.4 g,495.0 kcal
"AUSTIN, Chocolatey Peanut Butter Crackers, sandwich-type",39.0,1.0 package,2.7 g,-- mg,7.7 g,17.3 g,20.8 g,66.2 g,479.0 kcal
"AUSTIN, Grilled Cheese on Wafer Crackers, sandwich-type",39.0,1.0 package,2.7 g,129.0 mg,7.9 g,12.6 g,23.8 g,62.0 g,493.0 kcal
"AUSTIN, PB &amp; J Crackers, sandwich-type",39.0,1.0 package,2.7 g,-- mg,7.6 g,16.7 g,21.7 g,65.7 g,484.0 kcal
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type",39.0,1.0 package,2.0 g,50.0 mg,10.8 g,9.0 g,24.5 g,59.0 g,492.0 kcal
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type, reduced fat",36.0,1.0 package,2.7 g,-- mg,9.7 g,9.0 g,17.9 g,66.3 g,461.0 kcal
"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type",39.0,1.0 package,2.7 g,54.0 mg,10.6 g,11.6 g,23.8 g,60.2 g,489.0 kcal
"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type, reduced fat",36.0,1.0 package,2.7 g,-- mg,9.5 g,11.8 g,18.0 g,67.2 g,463.0 kcal
"Bagels, cinnamon-raisin",26.0,"1.0 mini bagel (2-1/2"" dia)",32.0 g,19.0 mg,9.8 g,5.98 g,1.7 g,55.2 g,274.0 kcal
"Bagels, cinnamon-raisin, toasted",24.0,"1.0 mini bagel (2-1/2"" dia)",26.9 g,20.0 mg,10.6 g,6.43 g,1.8 g,59.3 g,294.0 kcal
"Bagels, egg",28.35,1.0 oz,32.7 g,13.0 mg,10.6 g,-- g,2.1 g,53.0 g,278.0 kcal
"Bagels, multigrain",81.0,1.0 piece bagel,39.4 g,124.0 mg,9.9 g,8.66 g,1.24 g,47.47 g,241.0 kcal
"Bagels, oat bran",26.0,"1.0 mini bagel (2-1/2"" dia)",32.9 g,12.0 mg,10.7 g,1.63 g,1.2 g,53.3 g,255.0 kcal
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",99.0,1.0 bagel,33.81 g,219.0 mg,10.56 g,8.43 g,1.32 g,52.38 g,264.0 kcal
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",24.0,"1.0 mini bagel (2-1/2"" dia)",28.27 g,15.0 mg,11.14 g,9.14 g,1.43 g,57.39 g,287.0 kcal
"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",28.35,1.0 oz,32.6 g,18.0 mg,10.5 g,-- g,1.6 g,53.4 g,275.0 kcal
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",28.35,1.0 oz,32.6 g,74.0 mg,10.5 g,-- g,1.6 g,53.4 g,275.0 kcal
"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",28.35,1.0 oz,32.6 g,18.0 mg,10.5 g,-- g,1.6 g,53.4 g,275.0 kcal
"Bagels, wheat",98.0,1.0 bagel,37.55 g,20.0 mg,10.2 g,6.12 g,1.53 g,48.89 g,250.0 kcal
"Bagels, whole grain white",43.0,0.5 piece bagel 1 serving,34.52 g,93.0 mg,9.3 g,-- g,0.0 g,54.52 g,255.0 kcal
"BARBARA DEE, Winter Mints Cookies",31.0,4.0 cookies,2.0 g,-- mg,3.9 g,35.8 g,26.0 g,67.1 g,515.0 kcal
"BEAR NAKED, Double Chocolate Cookies",30.0,1.0 cookie,7.5 g,-- mg,6.6 g,35.2 g,16.9 g,66.9 g,423.0 kcal
"BEAR NAKED, Fruit &amp; Nut Cookies",30.0,1.0 cookie,8.0 g,-- mg,7.5 g,29.4 g,21.4 g,61.6 g,443.0 kcal
"Biscuits, mixed grain, refrigerated dough",28.35,1.0 oz,37.8 g,17.0 mg,6.1 g,-- g,5.6 g,47.4 g,263.0 kcal
"Biscuits, plain or buttermilk, dry mix",120.0,"1.0 cup, purchased",9.2 g,179.0 mg,8.0 g,11.65 g,15.4 g,63.4 g,428.0 kcal
"Biscuits, plain or buttermilk, dry mix, prepared",28.35,1.0 oz,28.9 g,185.0 mg,7.3 g,-- g,12.1 g,48.4 g,335.0 kcal
"Biscuits, plain or buttermilk, frozen, baked",28.35,1.0 oz,26.7 g,49.0 mg,6.2 g,3.48 g,11.03 g,53.87 g,338.0 kcal
"Biscuits, plain or buttermilk, prepared from recipe",28.35,1.0 oz,28.9 g,235.0 mg,7.0 g,2.18 g,16.3 g,44.6 g,353.0 kcal
"Biscuits, plain or buttermilk, refrigerated dough, higher fat",58.0,1.0 biscuit,33.15 g,51.0 mg,6.66 g,7.4 g,10.58 g,46.32 g,307.0 kcal
"Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",51.0,1.0 biscuit,29.69 g,27.0 mg,6.79 g,8.19 g,11.22 g,49.05 g,324.0 kcal
