Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
10291182,"La Burrita Corn Tortillas, 12ct",2.74,16 oz,Not available,La Burrita,104,&Acirc;&nbsp;
10291607,"B Brown Bread Original, 16 oz",2.73,16 oz,Not available,B&M,4780034109,"&lt;p&gt;Enjoy this tasty B&amp;M brown bread in a 16-oz can. New England brown bread is made with fine ingredients and is 99 percent fat free with no cholesterol. Whether served with the traditional baked beans or by itself, this fat-free bread is some of New England's finest brown bread.&lt;/p&gt;"
10291938,Guerrero 100% Whole Wheat Soft Taco Flour Tortillas 35 oz. Bag,4.29,35 oz,Not available,Guerrero,22011,"If you want to create authentic Mexican dishes, while benefiting from a great source of fiber and grains, there's nothing like Guerrero Whole Wheat Flour Tortillas. We prepare them with our special recipe using 100% whole wheat, so now you can enjoy a new and wholesome generation of quesadillas and fajitas."
10291980,Nestle TOLL HOUSE Chocolate Chip Cookie Dough 16.5 oz. Chub,2.99,16.5,Not available,NestlÌ© TOLL HOUSE,62241,Our famous chocolate chip cookie in a convenient chub format
10292574,Stove Top Chicken Stuffing 6oz,1.98,6 oz,Available,STOVE TOP,285210,"&lt;p&gt;Kraft Chicken Stove Top Stuffing Mix has been prepared as a classic side dish in kitchens the world over. Make Kraft Stove Top Stuffing to accompany a large meal or for a satisfying snack all by itself. Stove Top Chicken Stuffing Mix cooks in just five minutes, so you'll have stuffing ready that your whole family can enjoy.&lt;/p&gt;"
10292605,"Kraft Stove Top Chicken Stuffing Mix, 8 oz",2.02,8 oz,Not available,Kraft,4300028585,Make your meal even more delicious when you add the Kraft Stove Top 8-oz Chicken Stuffing Mix. It offers one serving and three different ways you can use it. It is ready in just 30 minutes and is microwavable in 2 minutes. This boxed stuffing mix contains real chicken broth.
10292607,Stove Top Pork Stuffing 6 Oz,2.07,6,Available,STOVE TOP,4300028591,&nbsp;
10292801,"Nabisco 100 Cal Oreo Thin Crisps, Lorna Doone Cookies, Chips Ahoy! Thin Crisps Snacks Variety Pack - 12 PK, 9.44 OZ",4.68,9.44 oz,Not available,100 Calorie Packs,1363,"&lt;p&gt;The 12 ct Variety Pack of Nabisco 100 Calorie Packs offers you healthy option snacks all day long. The Oreo Chips Ahoy! will take care of that chocolate longing, while the Lorna Doone Nabisco Pack will satisfy your salty and savory cravings. With the 12 ct Variety Pack, the whole family can choose the snack that is right for them. No more measuring calories or counting crisps; each pack is only 100 calories, no matter which flavor you choose. Nabisco 100 Calorie Packs are a tasty solution for those on the go.&lt;/p&gt;"
10293696,Don Pancho Low Carb Low Fat Whole Wheat Large 8 Ct  Wraps 17 Oz Bag,,17,Not available,,,&nbsp;
10294647,"Martha White Thin & Crispy Pizza Crust Mix, 6.5 oz",1.48,6.5 oz net weight,Not available,Martha White,51501,"&lt;p&gt;Since 1899, Martha White has been a trusted name in Southern kitchens, providing folks with the highest quality products.&lt;/p&gt;"
10295207,"Little Debbie Breakfast Pastries 6 ct Honey Buns, 10.6 oz",,10.6 oz,Not available,Little Debbie,4102,
