Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
2177971,Nostalgia Living Collection 30-Bottle Wine Cooler,165.0,,Not available,Nostalgia,EWC030BLK,"The Living by Nostalgia 18-Bottle Wine Cooler is a sleek, modern appliance keeps your bottles cool and on display, yet is discreet enough in look and in sound to be a classic addition to any interior."
2490249,Danby 17-Bottle Wine Cooler,134.99,Compact,Not available,Danby,DWC172BL,"For chilling wines, this very attractive countertop or under-counter wine cooler has a staggered shelf to allow a double row of bottles on the bottom. Great addition to the den, family room, kitchen or dining room. Shatter-resistant tempered glass door, 17-bottle capacity, from Danby, model No. DWC172BL."
5392444,"Danby Maitre D' Premium 6-Bottle Wine Chiller, Platinum",99.97,,Not available,Danby,DWC620PL-SC,"The Danby Maitre D' Premium 6-Bottle Wine Chiller gives you an attractive solution for storing your wines. This handy wine cooler uses the latest semiconductor technology, as well as a six-bottle capacity and a temperature range of 39F - 72F. The Platinum Danby Wine Chiller comes complete with three chrome wire shelves, an electronic LED thermostat and a blue interior display light. The Danby Wine Cooler is a freestanding counter-top model that can easily be placed most anywhere, and it features a platinum-trimmed door and cabinet."
5430319,"Haier HBCN05EBB 96-Can/46-Bottle Wine and Beverage Center Mini Fridge, Black [Refurbished]",262.88,1.0000,Not available,,,HAIER ENTERTAINMENT CENTER FOR BEVERAGES
5513442,Personalized Wine Bottle Box,21.96,,Not available,,,"&lt;p&gt;The personalized wine bottle box is a refined gift to accompany a special bottle of wine. This wood wine bottle box features metal accents, and is completed with a hinged lid and decorative latch. The exclusive wood wine bottle box is an impressive way of dressing up a bottle of wine and gifting it to the newlyweds or someone special. This exquisite personalized wine bottle box is beautifully crafted with a cherry finished solid wood and it has a slide-open lid. You can also personalize this wine bottle box by getting a sentence of up to 21 characters written on it, or you can even crave any single initial, last name up to 12 characters, or date established over it. The personalized wine box is perfect to hold a standard wine bottle of 750 ml.&lt;/p&gt;"
5679263,"Nostalgia Electrics KRS2100 Black Kegorator, Full-size 1/2 Barrel Beer Keg Fridge with Wheels",349.99,1 kegorator,Available,Generic,KRS2100,"The Nostalgia Electrics KRS2100 Kegorator Beer Keg Fridge dispenses beer quickly and easily. It keeps a keg on tap and cold whenever you need it, making it a good choice for parties, cookouts and almost any get-together with family and friends. It works well for times when you are serving a crowd. Swivel casters make the Nostalgia Electrics Kegorator beer keg fridge in black mobile enough to move around the clubhouse, pool area or anywhere else that you want to get the party started. The included long-lasting C02 bottle is good for about four 15-gallon kegs. This beer dispenser features a semi-gloss tap tower with a spring-loaded top-mounted tapper to make pouring a breeze. A chrome guard rail and drip tray finishes the look of the durable counter and gives the Nostalgia Electrics KRS2100 Kegorator Beer Keg Fridge a sleek and modern look that works well in any setting."
6560941,Haier Wine Lover's Bundle,25.39,,Not available,Haier,HWAC04,"The Haier wine accessory kit is the perfect gift for the wine lover in your life. It includes a cordless, rechargeable wine opener that opens up to 30 bottles on one charge. A foil cutter removes the seal on the bottle cleanly. Also included is a contemporary stainless steel bucket that keeps wine at proper serving temperature, a wine thermometer &quot;cuff&quot; and a wine bottle stopper with rubber ring."
7767723,Koolatron Single-Bottle Wine Cooler,59.0,,Not available,,,"The Koolatron Single-Bottle Wine Cooler chills wine at home or on the road, thanks to its 12V car adapter and 5' power cord. Now you can pick up a bottle of wine on the way to that dinner party and have it chilled down to 40 degrees F by the time you get there. Or take it along on picnics or tailgate parties without having to lug around a bag of ice that just melts away and leaves a mess."
7767724,12 Bottle Wine Cellar,179.99,,Available,Koolatron,WC12,"The 12-Bottle Slim Countertop Wine Cooler fits in many places most other wine coolers won't. This compact wine cooler measures just over 11 inches wide, but it still manages to hold up to 12 bottles of wine in perfect conditions. It uses a thermoelectric cooling unit, so there is no vibration to disturb the sediment in your fine wines. This unit also features an adjustable thermostat to keep you bottles at the perfect temperature. The slide-out chrome shelves cradle each bottle with care and the stylish pro-style handle and thermopane reversible glass door make it easy to access one or many bottles."
7767726,Koolatron Coca Cola Display Fridge,165.5,,Available,Coca-Cola,KWC25,"&lt;b&gt;ENERGY STAR&lt;sup&gt;&reg;&lt;/sup&gt;&lt;/b&gt;&lt;br&gt;Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government, as part of their energy efficiency and environmental activities.&lt;br&gt;Give your Cokes a home of their own, and keep them cooler longer with this compact, light and portable Coca-Cola Display Fridge, which holds up to 25 12-oz. cans and features a digital display with touchpad that lets you choose temperatures from 44 degrees F to 64 degrees F. The classic and recognizable red finish adds flair to any kitchen or picnic setting, and the self-locking recessed door handle keeps cans inside when you take them on the road."
