1334134,"Arts, Crafts & Sewing","Arts, Crafts & Sewing"
1334134_5899871,Art & Drawing Supplies,"Arts, Crafts & Sewing/Art & Drawing Supplies"
1334134_5899871_8844202,Adult Coloring Books,"Arts, Crafts & Sewing/Art & Drawing Supplies/Adult Coloring Books"
1334134_5899871_3421257,All Art Supplies,"Arts, Crafts & Sewing/Art & Drawing Supplies/All Art Supplies"
1334134_5899871_2065656,Art Tool Cleaners,"Arts, Crafts & Sewing/Art & Drawing Supplies/Art Tool Cleaners"
1334134_5899871_8932271,Art Tools,"Arts, Crafts & Sewing/Art & Drawing Supplies/Art Tools"
1334134_5899871_6153803,Boards & Canvas,"Arts, Crafts & Sewing/Art & Drawing Supplies/Boards & Canvas"
1334134_5899871_8160590,Coloring Books,"Arts, Crafts & Sewing/Art & Drawing Supplies/Coloring Books"
1334134_5899871_1350721,Drawing & Illustration,"Arts, Crafts & Sewing/Art & Drawing Supplies/Drawing & Illustration"
1334134_5899871_4431277,Drawing Tools & Accessories,"Arts, Crafts & Sewing/Art & Drawing Supplies/Drawing Tools & Accessories"
1334134_5899871_7445675,Painting,"Arts, Crafts & Sewing/Art & Drawing Supplies/Painting"
1334134_5899871_9677556,Sketchbooks & Paper,"Arts, Crafts & Sewing/Art & Drawing Supplies/Sketchbooks & Paper"
1334134_4533160,Beading & Jewelry Making,"Arts, Crafts & Sewing/Beading & Jewelry Making"
1334134_4533160_6262436,All Beading and Jewelry Making,"Arts, Crafts & Sewing/Beading & Jewelry Making/All Beading and Jewelry Making"
1334134_4533160_9799323,Beading Supplies,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies"
1334134_4533160_3653829,Beading Tools,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Tools"
1334134_4533160_1043543,Beads and Bead Assortments,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beads and Bead Assortments"
1334134_4533160_1548006,Jewelry Casting Supplies,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies"
1334134_4533160_8934268,Jewelry Cords and Threads,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Cords and Threads"
1334134_4533160_5046053,Jewelry Findings,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings"
1334134_4533160_1533194,Jewelry Making Books and Patterns,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Books and Patterns"
1334134_4533160_4974817,Jewelry Making Kits,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Kits"
1334134_4533160_7963469,Jewelry Making Tools,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools"
1334134_4533160_1930838,Pendants and Charms,"Arts, Crafts & Sewing/Beading & Jewelry Making/Pendants and Charms"
1334134_6355365,Craft Furniture & Storage,"Arts, Crafts & Sewing/Craft Furniture & Storage"
1334134_6355365_7824980,Craft Furniture,"Arts, Crafts & Sewing/Craft Furniture & Storage/Craft Furniture"
1334134_6355365_1285843,Craft Storage,"Arts, Crafts & Sewing/Craft Furniture & Storage/Craft Storage"
1334134_6172404,Crafting,"Arts, Crafts & Sewing/Crafting"
1334134_6172404_1043544,Basket Making,"Arts, Crafts & Sewing/Crafting/Basket Making"
1334134_6172404_4659078,Candlemaking,"Arts, Crafts & Sewing/Crafting/Candlemaking"
1334134_6172404_1043541,Ceramics & Pottery,"Arts, Crafts & Sewing/Crafting/Ceramics & Pottery"
1334134_6172404_6883794,"Ceramics, Molding & Sculpting","Arts, Crafts & Sewing/Crafting/Ceramics, Molding & Sculpting"
1334134_6172404_1095564,Clothing Crafting,"Arts, Crafts & Sewing/Crafting/Clothing Crafting"
1334134_6172404_8479577,Craft Supplies,"Arts, Crafts & Sewing/Crafting/Craft Supplies"
1334134_6172404_2414185,Dollmaking,"Arts, Crafts & Sewing/Crafting/Dollmaking"
1334134_6172404_2213895,Fabric Painting & Dye Supplies,"Arts, Crafts & Sewing/Crafting/Fabric Painting & Dye Supplies"
1334134_6172404_7814131,Floral Arrangement,"Arts, Crafts & Sewing/Crafting/Floral Arrangement"
1334134_6172404_8410019,Glass & Mosaics,"Arts, Crafts & Sewing/Crafting/Glass & Mosaics"
1334134_6172404_7141830,Glue Guns,"Arts, Crafts & Sewing/Crafting/Glue Guns"
1334134_6172404_1095507,Hobbies,"Arts, Crafts & Sewing/Crafting/Hobbies"
1334134_6172404_7244828,Leather Crafting,"Arts, Crafts & Sewing/Crafting/Leather Crafting"
1334134_6172404_4854691,Paper Crafting,"Arts, Crafts & Sewing/Crafting/Paper Crafting"
1334134_6172404_5361764,Picture Framing,"Arts, Crafts & Sewing/Crafting/Picture Framing"
1334134_6172404_7659444,Printmaking,"Arts, Crafts & Sewing/Crafting/Printmaking"
1334134_6172404_4049425,Soapmaking,"Arts, Crafts & Sewing/Crafting/Soapmaking"
1334134_6172404_2976674,Weaving,"Arts, Crafts & Sewing/Crafting/Weaving"
