Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
10322081,"Crunch Pak Mixed Apple Slices, 14 oz",,14 oz,Not available,Crunch Pak,53222,"&lt;p&gt;Chiquita has made it easy for you to enjoy delicious, natural fruit anytime, anywhere! Chiquita Red and Green Apple Bites are a healthy ready-to-eat snack perfect for you and the whole family. Our medley of Red and Green Apple Bites are hand picked at the peak of ripeness to ensure the best flavor and dipped in vitamin C to maintain their color. We then package our apple slices into a special breathable bag to ensure a juicy crisp apple crunch.&lt;/p&gt;"
10543663,"Great Value Whole Strawberries, 16 oz",,16 oz,Not available,Great Value,2334-GTV,
10543665,"Great Value Red Raspberries, 12 oz",,12 oz,Not available,Great Value,3708-GTV,
10543666,"Great Value  Blackberries, 16 oz",,16 oz,Not available,Great Value,3602-GTV,
10543667,"Great Value Sliced Peaches, 16 oz",,16 oz,Not available,Great Value,4203-GTV,
10543668,Acting Out Little Princess Fluffy PURPLE Marabou Tiara Multi-Colored,,16 oz,Not available,ACTING OUT,3860-GTV,
10794671,"Dole Chunks All Natural Mango, 16 oz",,16 oz,Not available,Dole,7120210558,"&lt;p&gt;Dole All Natural Mango Chunks are hand-picked at peak ripeness to ensure you're getting only the finest fruit available. Each fruit is carefully washed and quickly fresh-frozen after harvest to lock in the natural flavor and nutrition. The result is great-tasting fruit that is available all year long. Feel revitalized with the fresh taste of sun-ripened Dole all-natural fruit. Rich in nutrients, fruit gives you healthy energy so you feel refreshed and ready to shine. Dole. Make every day shine.&lt;/p&gt;"
10794675,"Dole Sliced Ready-Cut Strawberries Fruit, 14 oz",,14 oz,Not available,Dole,7120217210,"&lt;p&gt;Feel revitalized with the fresh taste of Dole Ready-Cut Fruit Sliced Strawberries. Rich in nutrients, fruit gives you healthy energy so you feel refreshed and ready to shine. Dole. Make every day shine. Dole Ready-Cut Fruit is pre-washed, fresh-frozen fruit, cut into bite-sized pieces. Perfect for blending into a smoothie, topping your favorite foods, or eating as a snack, Dole Ready-Cut Fruit is the easy way to add healthy fruit to your diet every day.&lt;/p&gt;"
10794682,"Dole Dark Sweet Cherries, 12 oz",,12 oz,Not available,Dole,7120231512,"&lt;p&gt;Feel revitalized with the fresh taste of sun-ripened Dole Dark Sweet Cherries. Rich in nutrients, fruit gives you healthy energy so you feel refreshed and ready to shine. Dole dark sweet cherries are hand-picked at their peak ripeness to ensure you're getting only the finest fruit available. Each is carefully washed, cut and quickly fresh-frozen after harvest to lock in the natural flavor and nutrition. The result is great-tasting fruit that is available all year long. Dole. Make every day shine.&lt;/p&gt;"
14089506,"Wyman's of Maine Wild Blueberries, 15 oz",8.87,15 oz net weight,Not available,Wyman's of Maine,9124235,"&lt;p&gt;Nature?s #1 antioxidant fruit is perfect for smoothies, baking, snacking or as a topping on yogurt, cereals and salads.&lt;/p&gt;"
14089507,"Wyman's of Maine Red Raspberries, 15 oz",,15,Not available,,,&nbsp;
14089508,"Wyman's of Maine Strawberries, 15 oz",,15 oz,Not available,Wyman's of Maine,9128938,&lt;ul&gt;&lt;li&gt;Wyman's of Maine Fresh Frozen Strawberries.&lt;/li&gt;&lt;/ul&gt;
14089509,"Wyman's of Maine Mixed Berries, 15 oz",,15,Not available,,,&nbsp;
14150148,"Quirch Foods Maracuya Parcha Passion Fruit Pulp, 14 oz",,Net wt 14 oz,Not available,Quirch Foods,602608,"&lt;p&gt;Quirch fruit pulps are 100% natural with no added ingredients, colors, or preservatives. They're great for juices, smoothies or milkshakes.&lt;/p&gt;"
14150149,"Quirch Foods Guanabana Fruit Pulp, 14 oz",,Net wt 14 oz,Not available,QUIRCH,602612,"&lt;p&gt;Quirch fruit pulps are 100% natural with no added ingredients, colors or preservatives. They're great for juices, smoothies or milkshakes.&lt;/p&gt;"
