Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
10292832,"Larry's Mashed Potatoes with Cheddar Cheese, 2 count, 10 oz",,10 oz,Not available,Larry's,60156,"&lt;p&gt;Enjoy delicious, all-natural potatoes, no matter what the occasion. Larry's potatoes make a good meal great&lt;/p&gt;"
10292833,"Larry's Sweet Potatoes 2 ct Mashed Potatoes, 8.16 oz",,,Not available,Larry's,60520,"&lt;p&gt;Enjoy delicious, all-natural potatoes, no matter what the occasion larry's potatoes make a good meal great&lt;/p&gt;"
10315045,"Great Value Baby Lima Beans, 16 Oz",,16 oz,Not available,Great Value,9128966,
10315047,"Great Value Broccoli & Cauliflower, 16 oz",,16 oz,Not available,Great Value,9136942,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10315184,"Great Value:  Corn On The Cob, 24 Ct",,,Not available,Great Value,9159534,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste And quality Of every great value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package And the receipt. It's that simple. Great quality. Great price. Guaranteed. Mazorcas de MAIZ.&lt;/p&gt;"
10315732,"Great Value  Corn On The Cob, 8 Ct",,,Not available,Great Value,9126729,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste And quality Of every great value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package And the receipt. It's that simple. Great quality. Great price. Guaranteed. Mazorcas de MAIZ.&lt;/p&gt;"
10316714,"Great Value Deluxe Stir-Fry, 16 oz",,16 oz,Not available,Great Value,18742,"&lt;p&gt;Great Value Deluxe Stir Fry features a mix of broccoli, Italian green beans, carrots, baby corn cobs, water chestnuts and red peppers.&lt;/p&gt;"
10316715,"Great Value: Broccoli Stir-Fry, 16 Oz",,16 oz,Not available,Great Value,18743,&lt;p&gt;Wal-mart guarantees a 100% refund if you are not satisfied with this product.&lt;/p&gt;
10316716,"Great Value Sugar Snap Pea Stir-Fry, 16 oz",,16 oz,Not available,Great Value,060538818744,&lt;p&gt;Wal-mart guarantees a 100% refund if you are not satisfied with this product.&lt;/p&gt;
10451009,"Great Value Southern Hash Browns, 32 oz",,,Not available,Great Value,10078742124541,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10451791,"Pictsweet Whole Okra, 12 oz",,Net wt 16 oz,Not available,Pictsweet Farms,71623285185,"&lt;p&gt;Nutritious, great-tasting Pictsweet Whole Okra starts on the farm naturally--without additives or preservatives. Pictsweet grows vegetables with tender care from seed to harvest, the traditional way. Then they are quick frozen to lock in their natural goodness. Pictsweet Whole Okra naturally contains zero grams saturated fat, total fat and cholesterol.&lt;/p&gt;"
10534211,"Great Value Steak Fries, 28 oz",,28 oz,Not available,Great Value,10078742225736,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10534212,"Great Value Crinkle Cut French Fried Potatoes, 32 oz",,32 oz,Not available,Great Value,10078742430260,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10534213,"Great Value Taters, 32 oz",,32 oz,Not available,Great Value,10078742430284,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10534214,"Great Value Regular Cut French Fried Potatoes, 32 oz",,32 oz,Not available,Great Value,10078742430253,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10534281,20 Oz Great Value Sweet Potato Fries,,,Not available,Great Value,G0073,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10534285,"Great Value Seasoned Fries, 32 oz",,32 oz,Not available,Great Value,10078742434589,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
