Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
1173181,Marketside Chipotle Chicken Wrap,,,Not available,,,
2225375,El Libro del Tofu,10.3,,Not available,,,
10290733,"Coronado Bologna, 16 oz",,16,Not available,,,
10290741,"Bar-S Classic Bun Length Franks, 16 oz",,16 oz,Not available,Bar-S,1590000209,
10290742,"Bar-S America's Favorite Jumbo Franks, 16 oz",,16 oz,Not available,Bar-S,00211-GV,
10290747,"Bar-S Jumbo Chicken Franks, 16 Oz",,16 oz,Not available,Bar-S,12255,
10290748,"Bar-S: Turkey Jumbo Franks, 16 Oz",,16 oz,Not available,Bar-S,12272,&lt;p&gt;Bar-S Turkey Jumbo Franks&rsquo; fat content has been reduced from 16 grams to 9 grams per serving.&lt;/p&gt;
10290752,"Bar-S Bun Length Franks Family Pack, 24 count, 48 oz",,48 oz,Not available,Bar-S,14063,
10290753,"Bar-S Coronado Wieners, 32 oz",,32 oz,Not available,Bar-S,14200,
10290759,"Bar-S: Classic Hot Links Sausage, 24 Oz",,1.5 lbs,Not available,Bar-S,23800,
10290760,"Bar-S Hot Links Sausage, 16 count, 48 oz",,48 oz,Not available,Bar-S,15900 23828,
10290762,"Bar-S Classic Chopped Ham, 5 Lb",,5 lbs,Not available,Bar-S,33198,
10290780,"Armour Barbecue Flavored Vienna Sausage, 4.75 oz",1.37,5 oz,Not available,Armour,00936,"&lt;p&gt;Armour Barbecue Flavored Vienna Sausages have a thick, rich barbecue sauce that is seasoned to perfection and bursting with flavor. Enjoy them as a ready-to-eat snack or add them to your favorite dishes.&lt;/p&gt;"
10290782,"Armour Smoked Vienna Sausage, 4.75 oz",0.98,5 oz,Not available,Armour,00939,"&lt;p&gt;Armour Smoked Vienna Sausages are bursting with flavor. Robust and hearty, these sausages taste like they're straight from the smokehouse. They're perfect as a ready-to-eat snack or add them to your favorite dishes.&lt;/p&gt;"
10290915,"Hormel Salt Pork, Sliced, 12 oz",,12 oz,Not available,Hormel,04953,
10290933,"Hormel Black Label Original Thick Cut Bacon, 2.52 oz",,2.52 oz,Not available,Black Label,23436,"&lt;p&gt;Great taste...anytime! Now it's easy to enjoy the rich, hearty taste of real Hormel bacon any time of day. Hormel fully cooked bacon adds extra flavor and fun to your favorite meals and snacks.&lt;/p&gt;"
10290938,"Hormel Bone-In Smoked Chops,13-16 oz",,15 oz,Not available,Hormel,37232,
10290956,Hormel Boneless Smoked Chops. 7-10 oz,,7.5 oz,Not available,Hormel,31368,
10290973,"Hormel Canadian Bacon, 6 count, 6 oz",,6 oz,Not available,Hormel Foods,01051,
10290981,"Hormel Black Label Original Bacon, 16.0 OZ",,16 oz,Not available,Black Label,25070,
10290984,"Hormel Slow Simmered Pork Roast Au Jus, 17 oz",,17 oz,Not available,Hormel,38589,
10290988,"Jones Dairy Farm Original Braunschweiger Liverwurst, 8 oz",,8,Not available,,,&nbsp;
10290989,"Jones Dairy Farm Braunschweiger Liverwurst, 8 oz",,8 oz,Not available,Jones Dairy Farm,053200,"&lt;p&gt;Enjoy the smooth, creamy taste of Jones Dairy Farm Sliced Braunschweiger Liverwurst with Bacon Added, the Jones family's old world Braunschweiger, and the convenience of ready-to-use slices. You'll know why Jones Dairy Farm is far and away America's favorite sliced Braunschweiger.&lt;/p&gt;"
10290996,Hormel® Canadian Pizza Style Bacon 6 oz. Peg,,6 oz,Not available,Hormel,42984,
10291010,"Hormel Sliced Roasted Turkey Breast & Gravy, 17 oz",,17 oz,Not available,Hormel,17465,
10291013,"Hormel Black Label Lower Sodium Bacon, 16 oz",,16 oz,Not available,Hormel Black Label,30965,&lt;p&gt;Hormel Black Label Bacon is specially selected. This bacon delivers our highest standard of quality available. Don't settle for anything less!&lt;/p&gt;
10291157,"King Oscar Fillets of Herring Lightly Smoked Kipper Snacks, 3.25 oz",2.68,92 g,Available,King Oscar,400,"&lt;p&gt;King Oscar Fillets of Herring Lightly Smoked Kipper Snacks contain 1.5 grams of omega-3 fatty acids per serving. Omega-3s are essential polyunsaturated fatty acids needed by your body and found naturally in fish. From a proud Norwegian seafood tradition, King Oscar always offers the best for you.&lt;/p&gt;"
10291631,"Eckrich: Jumbo 8 Ct Franks, 16 Oz",,16 oz,Not available,Eckrich,00070,
10291632,"Eckrich Bunsize Franks, 16 oz",,16 oz,Not available,Eckrich,00077,
10291633,"Eckrich: 10 Ct Franks, 16 Oz",,16 oz,Not available,Eckrich,00090,&lt;p&gt;A family tradition since 1894&lt;/p&gt;
10291634,"Eckrich Bologna Lunchmeat, 16 oz",,,Not available,Eckrich,00500,
10291635,Eckrich® Thick Bologna 14 oz. Package,,16 oz,Not available,Eckrich,4660000510,
10291636,Eckrich® Red Rind Bologna 14 oz. Package,,1 lbs,Not available,Eckrich,00570,
10291639,"Eckrich Smoked Sausage Grillers, 12ct",,16 oz,Not available,Eckrich,00760,
10291643,"Eckrich: Skinless Polska Kielbasa 2 Ct Smoked Sausage, 16 Oz",,16 oz,Not available,Eckrich,0 46600 00851 0,&lt;p&gt;Since 1894.&lt;/p&gt;
10291644,"Eckrich: Skinless Smoked Sausage Rope, 16 Oz",,16 oz,Not available,Eckrich,00850,
10291645,"Eckrich: Skinless Cheese 2 Ct Smoked Sausage, 14 Oz",,14 oz,Not available,Eckrich,00873,&lt;p&gt;Since 1894.&lt;/p&gt;
10291658,"Eckrich: Original Smoked Sausage Family Pack Smoked Sausage Bulk, 3 Lb",,3 lb,Not available,Eckrich,02770,
10291663,"Eckrich: Naturally Hardwood Smoked Made w/Pork/Turkey & Beef Smoked Sausage, 16 Oz",,16 oz,Not available,Eckrich,04815,&lt;p&gt;U.S. Inspected And passed by department Of AGRICULTURE.&lt;/p&gt;
10291667,"Eckrich: Naturally Hardwood Smoked Polska Kielbasa Made w/Pork/Turkey & Beef Smoked Sausage, 16 Oz",,16 oz,Not available,Eckrich,04845,&lt;p&gt;U.S. Inspected And passed by department Of AGRICULTURE.&lt;/p&gt;
10291668,"Eckrich Jalapeno & Cheddar Smoked Sausage Links, 6ct",,16 oz,Not available,Eckrich,35005,
10291670,"Eckrich Cheddar Smoked Sausage Links, 6ct",,16 oz,Not available,Eckrich,55003,
10291679,"Chicken of the Sea Whole Baby Clams, 10 oz",2.4,Net wt 10 oz,Available,Chicken of the Sea,00065,"&lt;p&gt;Chicken Of The Sea Whole Baby Clams, 10 oz&lt;/p&gt;"
10292050,"Jennie-O Turkey Franks with Natural Smoke Flavoring, 12 oz",,12 oz,Not available,Jennie-O Turkey Store,8121,
10292051,Jennie-O Hardwood Smoked Turkey Sausage 14 oz. Package,,14 oz,Not available,Jennie-O,8160,
10292257,"Plumrose Sliced Ham, 16 oz",,16 oz,Not available,Plumrose,101022,
10292258,"Plumrose Deli Sliced 97% Fat Free Premium Ham, 12 oz",,12 oz,Not available,Generic,01060,
10292311,Plumrose® Premium Hardwood Smoked Smokey Maple Bacon 12 oz. Package,,12 oz,Not available,Plumrose,503011,
10292315,"Plumrose Chopped Ham, 5 lb",,5 lbs,Not available,Plumrose,866005,
10292512,Oscar Mayer Classic Bun-Length Wieners - 8 CT,,16 oz,Not available,Oscar Mayer,00004,
10292513,"Oscar Mayer Uncured Cheese Dogs, 16.0 OZ",,1 lbs,Not available,Oscar Mayer,00053,
10292514,Oscar Mayer Classic Wieners 10 ct Pack,,16 oz,Not available,Oscar Mayer,47000006300,
10292516,"Oscar Mayer Classic Beef Franks, 10 count, 16 oz",,16 oz,Not available,Oscar Mayer,44,
10292518,"Oscar Mayer Uncured Jumbo Wieners, 16.0 OZ",,16 oz,Not available,Oscar Mayer,210,
10292602,"Oscar Mayer Beef Summer Sausage, 8 oz",,,Not available,,,
10292650,"Oscar Mayer Liver Sausage Braunschweiger, 8 oz",,8 oz,Not available,Oscar Mayer,01280,
10292659,Oscar Mayer Bacon 16 oz. Package,,16 oz,Not available,Oscar Mayer,4470001988,&lt;p&gt;America's favorite brand of bacon is Oscar Mayer. Oscar Mayer has been making great tasting bacon for over 75 years. Oscar Mayer Naturally Hardwood Smoked Bacon's naturally hardwood smoked process brings out the delicious flavor and aroma that everyone loves. Oscar Mayer--nothing but the best!&lt;/p&gt;
10292660,Oscar Mayer Thick Cut Bacon 16 oz. Pack,,16 oz,Not available,Oscar Mayer,01990,&lt;p&gt;Oscar Mayer Thick Cut Bacon is naturally hardwood smoked to consistently deliver the taste that will satisfy your family's hearty appetite. Enjoy Oscar Mayer Thick Cut Bacon by itself or in your favorite recipes. Oscar Mayer￢ﾀﾔnothing but the best.&lt;/p&gt;
10292661,Oscar Mayer Lower Sodium Bacon 16 oz. Pack,,16 oz,Not available,Oscar Mayer,01992,"&lt;p&gt;With Oscar Mayer Lower Sodium Bacon, you can feel good about treating your family to one of their favorite foods more often. Oscar Mayer Lower Sodium Bacon has 30% less sodium yet delivers the great naturally hardwood smoked flavor you'd expect. Oscar Mayer￢ﾀﾔnothing but the best.&lt;/p&gt;"
10292667,Oscar Mayer Center Cut Original Bacon 12 oz. Pack,,12 oz,Not available,Oscar Mayer,2268,
10292756,"Oscar Mayer 98% Fat Free Shaved Rotisserie Style Chicken Breast, 9 oz",,9 oz,Not available,Oscar Mayer,3099,
10292757,"Jennie-O 93/7 Lean Ground Turkey Tray, Fresh 3.0 lbs",,N,Not available,,,3Lb Ground Turkey
